word=zone, count=1
word=zip, count=2
word=zest, count=1
word=youthful, count=3
word=youth, count=2
word=yourself, count=10
word=yours, count=2
word=your, count=76
word=youngsters, count=3
word=youngster, count=2
word=youngest, count=1
word=younger, count=7
word=young, count=10
word=you, count=472
word=york, count=1
word=yip, count=1
word=yields, count=1
word=yet, count=21
word=yesterday, count=2
word=yes, count=23
word=yep, count=1
word=yellow, count=3
word=yeast, count=1
word=years, count=9
word=yearning, count=1
word=year, count=7
word=yarroll, count=1
word=yarns, count=1
word=yarn, count=1
word=yards, count=1
word=yard, count=1
word=yale, count=2
word=y, count=1
word=xviii, count=1
word=xvii, count=1
word=xvi, count=1
word=xv, count=1
word=xix, count=1
word=xiv, count=1
word=xiii, count=1
word=xii, count=1
word=xi, count=1
word=x, count=1
word=www, count=3
word=wry, count=1
word=wrong, count=8
word=written, count=1
word=writing, count=1
word=writers, count=1
word=writer, count=1
word=write, count=1
word=wringing, count=1
word=wriggling, count=1
word=wrecking, count=1
word=wreck, count=1
word=wreathing, count=1
word=wrathfully, count=1
word=wrath, count=1
word=woven, count=2
word=wove, count=2
word=wouldn, count=17
word=would, count=98
word=worth, count=4
word=worshippers, count=1
word=worshipped, count=1
word=worse, count=2
word=worrying, count=4
word=worry, count=4
word=worrisome, count=1
word=worries, count=1
word=worried, count=2
word=worn, count=2
word=worms, count=1
word=worlds, count=1
word=world, count=29
word=workshop, count=1
word=works, count=1
word=working, count=5
word=workers, count=2
word=worker, count=2
word=worked, count=8
word=work, count=36
word=wore, count=1
word=words, count=13
word=word, count=8
word=woodpiles, count=1
word=wood, count=3
word=wont, count=1
word=wonders, count=3
word=wonderland, count=1
word=wondering, count=1
word=wonderful, count=9
word=wondered, count=1
word=wonder, count=4
word=won, count=13
word=women, count=6
word=woman, count=9
word=witnessed, count=1
word=without, count=24
word=within, count=4
word=withering, count=1
word=withal, count=2
word=with, count=181
word=wit, count=1
word=wisp, count=1
word=wished, count=2
word=wish, count=10
word=wiser, count=1
word=wise, count=1
word=wisdom, count=4
word=wiping, count=2
word=wiped, count=1
word=winters, count=1
word=winter, count=5
word=wink, count=1
word=winds, count=2
word=windowpane, count=1
word=window, count=6
word=wind, count=2
word=willingly, count=1
word=willing, count=3
word=william, count=1
word=will, count=48
word=wild, count=3
word=widow, count=1
word=wider, count=1
word=widens, count=2
word=wide, count=1
word=why, count=34
word=whose, count=11
word=whooping, count=1
word=whooped, count=1
word=whom, count=6
word=whole, count=7
word=who, count=74
word=whitney, count=29
word=whither, count=1
word=white, count=10
word=whit, count=1
word=whistling, count=1
word=whispers, count=1
word=whispered, count=3
word=whisper, count=1
word=whirled, count=1
word=whimpering, count=1
word=whimpered, count=2
word=while, count=14
word=whichever, count=1
word=which, count=28
word=whether, count=7
word=wherever, count=4
word=where, count=40
word=whenever, count=2
word=when, count=89
word=wheelwright, count=1
word=wheels, count=1
word=wheeling, count=1
word=wheeled, count=2
word=wheel, count=1
word=whatever, count=4
word=what, count=109
word=wet, count=2
word=western, count=1
word=weren, count=3
word=were, count=105
word=went, count=19
word=well, count=57
word=welcomed, count=1
word=weighing, count=1
word=weighed, count=1
word=weep, count=1
word=weeks, count=3
word=week, count=9
word=wee, count=5
word=web, count=2
word=weaving, count=3
word=weather, count=3
word=wearisome, count=1
word=wearing, count=2
word=wear, count=2
word=weapons, count=1
word=weapon, count=1
word=wealth, count=2
word=weak, count=3
word=we, count=85
word=ways, count=2
word=waylay, count=1
word=way, count=23
word=waving, count=1
word=waves, count=1
word=waved, count=1
word=wave, count=1
word=waters, count=1
word=watering, count=1
word=water, count=3
word=watching, count=1
word=watched, count=1
word=watch, count=2
word=wasting, count=1
word=wasted, count=1
word=waste, count=1
word=wasn, count=20
word=washings, count=1
word=washing, count=2
word=washed, count=1
word=wash, count=1
word=was, count=417
word=wars, count=2
word=warrior, count=1
word=warning, count=2
word=warmly, count=1
word=warehouse, count=1
word=ware, count=2
word=wants, count=2
word=wanted, count=10
word=want, count=16
word=wane, count=1
word=wandered, count=3
word=walls, count=2
word=wall, count=1
word=walking, count=3
word=walked, count=7
word=walk, count=4
word=waken, count=1
word=wake, count=2
word=waiting, count=6
word=waited, count=1
word=wait, count=6
word=wailed, count=1
word=wail, count=1
word=waging, count=1
word=wages, count=1
word=wager, count=2
word=wadding, count=1
word=w, count=1
word=voyages, count=1
word=voyagers, count=1
word=voyage, count=3
word=volatile, count=1
word=voice, count=8
word=visitors, count=3
word=visitor, count=4
word=visited, count=1
word=visit, count=3
word=virtues, count=1
word=virginia, count=2
word=violin, count=1
word=vine, count=1
word=vindictive, count=1
word=village, count=3
word=viii, count=2
word=vii, count=2
